結核,けっかく
決定,けってい
発想,はっそう
急かす,せかす
学級,がっきゅう
学校,がっこう
他人,あだびと
鈍い,のろい
脱する,だっする
噛る,かじる
咄嗟,とっさ
列島,れっとう
達者,たっしゃ
集る,あつまる
復活,ふっかつ
中学校,ちゅうがっこう
真中,まんなか
凡ゆる,あらゆる
現われ,あらわれ
煙草,たばこ
梅雨,つゆ
迚も,とても
其れから,それから
如何しても,どうしても
芝生,しばふ
知合い,しりあい
平均,ならし
何時も,いつも
一向,ひたすら
素人,しろうと
お菜,おかず
五月蝿い,うるさい
本当,ほんと
悪戯,いたずら
明い,あかるい
女子,おなご
時々,ときどき
可哀想,かわいそう
含嗽,うがい
物語,ものがたり
末,うら
決行,けっこう
出品,しゅっぴん
可成,かなり
言う,ゆう
延いては,ひいては
殿,しんがり
実際,じっさい
拐う,さらう
血管,けっかん
湿気る,しける
特権,とっけん
浴衣,ゆかた
何方,どなた
様々,さまざま
浮気,うわき
旧事,くじ
田ぼ,たんぼ
お姉さん,おねえさん
此れ,これ
否,いいえ
発掘,はっくつ
呆気ない,あっけない
不味い,まずい
一括,いっかつ
発見,はっけん
厭やらしい,いやらしい
北極,ほっきょく
草臥れる,くたびれる
心地,ここち
学期,がっき
失敗,しっぱい
結束,けっそく
曇,くもり
月日,がっぴ
為来り,しきたり
出席,しゅっせき
喫茶,きっさ
実験,じっけん
擽ぐったい,くすぐったい
葦,よし
直角,ちょっかく
区々,まちまち
絶版,ぜっぱん
熱中する,ねっちゅうする
結構,けっこう
筆者,ひっしゃ
仮令,たとえ
浮ぶ,うかぶ
一切,いっさい
吃驚,びっくり
質素,しっそ
出版,しゅっぱん
錆び,さび
些とも,ちっとも
結局,けっきょく
今朝,けさ
生温い,なまぬるい
景色,けしき
目覚しい,めざましい
一体,いったい
お土産,おみやげ
密接,みっせつ
物騒,ぶっそう
折角,せっかく
察する,さっする
微笑む,ほほえむ
月給,げっきゅう
見積り,みつもり
密集,みっしゅう
三日月,みかずき
洒落,しゃれ
摘む,つまむ
一昨日,おととい
着工,ちゃっこう
云々,うんぬん
気障,きざ
実習,じっしゅう
疾っくに,とっくに
一気,いっき
出産,しゅっさん
切開,せっかい
一筋,ひとすき
従姉妹,いとこ
博士,はかせ
喫茶店,きっさてん
落し物,おとしもの
下す,おろす
特急,とっきゅう
真っ赤,まっか
足袋,たび
果ない,はかない
物価,ぶっか
其処,そこ
何処か,どこか
彼方此方,あちらこちら
藍褸,ぼろ
然うして,そうして
突破,とっぱ
鉄片,てっぺん
現われる,あらわれる
剃刀,かみそり
火傷,やけど
引越し,ひっこし
方々,ほうぼう
一方,いっぽう
巨,こ
分る,わかる
連中,れんじゅう
出勤,しゅっきん
日程,にってい
掏摸,すり
決る,きまる
伯父さん,おじさん
結果,けっか
前,せん
借金,しゃっきん
梯子,はしご
浸ける,つける
木綿,もめん
余所,よそ
熱帯,ねったい
一帯,いったい
尻尾,しっぽ
出生,しゅっしょう
跡切れる,とぎれる
有難い,ありがたい
嫉妬,しっと
叔母さん,おばさん
何故,なぜ
余所見,よそみ
背負う,しょう
他（外）,ほか
末期,まっき
お父さん,おとうさん
雑誌,ざっし
何時か,いつか
作家,さっか
明日,あした
活発,かっぱつ
真実,さな
吝嗇,けち
厄介,やっかい
売上,うりあげ
学会,がっかい
彼方,あちら
大凡,おおよそ
国交,こっこう
擦る,かする
叔父さん,おじさん
踏切,ふみきり
何時の間にか,いつのまにか
其れ共,それとも
風邪,かぜ
雪崩,なだれ
清々しい,すがすがしい
絶対,ぜったい
年月,としつき(ねんげつ）
灰,あく
温い,ぬるい
実態,じったい
にも拘らず,にもかかわらず
日中,にっちゅう
詰らない,つまらない
中腹,ちゅうっぱら
陽気な,ようき
説得,せっとく
直径,ちょっけい
可愛い,かわいい
一昨年,おととし
頬っぺた,ほっぺた
鉄鋼,てっこう
小包,こづつみ
実質,じっしつ
出身,しゅっしん
接する,せっする
接近,せっきん
愈々,いよいよ
圧縮,あっしゅく
気質,かたぎ
発達,はったつ
国会,こっかい
相撲,すもう
為替,かわせ
楽器,がっき
先々月,せんせんげつ
錯覚,さっかく
其処ら,そこら
従兄弟,いとこ
物体ない,もったいない
最早,もはや
躊躇う,ためらう
真似,まね
団扇,うちわ
決勝,けっしょう
歯磨,はみがき
切手,きって
国家,こっか
若々しい,わかわかしい
俄か,にわか
如何に,いかに
乗換,のりかえ
直感,ちょっかん
悪口,あっこう
打合せ,うちあわせ
括弧,かっこ
火燵,こたつ
昨日,きのう
発行,はっこう
怠い,だるい
発射,はっしゃ
筆記,ひっき
学科,がっか
剥す,はがす
生年月日,せいねんがっぴ
何故なら,なぜなら
月賦,げっぷ
達する,たっする
私,あたし
実行,じっこう
貴女,あなた
経緯,いきさつ
天皇,てんのう
如何,いかが
発足,はっそく
何々,どれどれ
実践,じっせん
伯母さん,おばさん
今日,きょう
一緒,いっしょ
圧迫,あっぱく
一変,いっぺん
熱湯,ねっとう
沸騰,ふっとう
長閑,のどか
彼処,あそこ
徹底,てってい
失調,しっちょう
明々後日,しあさって
目盛,めもり
発条,ばね
小切手,こぎって
一敗,いっぱい
微塵,みじん
軈て,やがて
下手,へた
洒落る,しゃれる
何処,どこ
彼此,あれこれ
図々しい,ずうずうしい
設置,せっち
嗚呼,ああ
徐々に,じょじょに
明白,あからさま
昨夜,ゆうべ
泌み泌み,しみじみ
積極的,せっきょくてき
何の,どの
発展,はってん
一生,いっしょう
曲る,まがる
其れ,それ
強請る,ねだる
お母さん,おかあさん
食器,しょっき
二十歳,はたち
騒々しい,そうぞうしい
雑貨,ざっか
植木,うえき
没収,ぼっしゅう
出社,しゅっしゃ
裸足,はだし
発生,はっせい
容易い,たやすい
精々,せいぜい
目覚し,めざまし
百科事典,ひゃっかじてん
名残,なごり
少女,おとめ
気触れる,かぶれる
お祖父さん,おじいさん
流石,さすが
お洒落,おしゃれ
可笑しい,おかしい
其処で,そこで
落下,らっか
流行,はやり
目眩,めまい
一斉,いっせい
一心,いっしん
練習,れんしゅうする
売行き,うれゆき
何れ,どれ
有様,ありさま
一日,ついたち
何時,いつ
徹する,てっする
出張,しゅっちょう
大人しい,おとなしい
散歩,さんぽする
一家,いっか
滅多に,めったに
率直,そっちょく
掃除,そうじする
此の,この
眼鏡,めがね
日課,にっか
出費,しゅっぴ
徐々,そろそろ
一般,いっぱん
弟,おと
湿気,しっき
実感,じっかん
特許,とっきょ
心中,しんじゅう
其れ故,それゆえ
実費,じっぴ
古,いにしえ
滑稽,こっけい
屹度,きっと
所々,ところどころ
八百屋,やおや
年中,ねんじゅう
高等学校,こうとうがっこう
日向,ひなた
物体,ぶったい
悪化,あっか
書留,かきとめ
月謝,げっしゃ
脱出,だっしゅつ
お巡りさん,おまわりさん
錆びる,さびる
自惚れ,うぬぼれ
発作,ほっさ
迷子,まいご
如何して,どうして
欠点,けってん
天地,あめつち
国境,こっきょう
真面目,まじめ
お腹,おなか
然して,そして
窒息,ちっそく
熱する,ねっする
結晶,けっしょう
苛々,いらいら
其の儘,そのまま
立派,りっぱ
流行る,はやる
薬缶,やかん
田舎,いなか
脱退,だったい
楽観,らっかん
唯,たった
白髪,しらが
出発,しゅっぱつ
物質,ぶっしつ
決心,けっしん
扇ぐ,あおぐ
必修,ひっしゅう
明後日,あさって
組合せ,くみあわせ
生真面目,きまじめ
真似る,まねる
乾,ほし
鉄砲,てっぽう
接触,せっしょく
突く,つつく
外方,そっぽ
