"kanji","curPron","pos","nextPron","prevPron","curIndex","lastChar","onKun","oneChar","allKanji"
"首","くび","noun","k","START","0","り","True","False","False"
"飾","かざ","noun","r","i","1","り","True","False","False"
"り","り","noun","END","a","2","り","True","False","False"
"脅","きょう","noun","h","START","0","迫","False","False","True"
"迫","はく","noun","END","u","1","迫","False","False","True"
"整","ととの","verb","e","START","0","る","True","False","False"
"え","え","verb","r","o","1","る","True","False","False"
"る","る","verb","END","e","2","る","True","False","False"
"口","くち","verb","z","START","0","む","True","False","False"
"ず","ず","verb","s","i","1","む","True","False","False"
"さ","さ","verb","m","u","2","む","True","False","False"
"む","む","verb","END","a","3","む","True","False","False"
"磁","じ","noun","k","START","0","気","False","False","True"
"気","き","noun","END","i","1","気","False","False","True"
"淡","たん","noun","s","START","0","水","False","False","True"
"水","すい","noun","END","n","1","水","False","False","True"
"模","も","noun","h","START","0","範","False","False","True"
"範","はん","noun","END","o","1","範","False","False","True"
"対","たい","noun","s","START","0","照","False","False","True"
"照","しょう","noun","END","i","1","照","False","False","True"
"隣","となり","noun","END","START","0","隣","True","True","True"
"家","か","noun","o","START","0","屋","False","False","True"
"屋","おく","noun","END","a","1","屋","False","False","True"
"類","るい","noun","s","START","0","推","False","False","True"
"推","すい","noun","END","i","1","推","False","False","True"
"改","かい","noun","s","START","0","正","False","False","True"
"正","せい","noun","END","i","1","正","False","False","True"
"尽","つ","verb","k","START","0","る","True","False","False"
"き","き","verb","r","u","1","る","True","False","False"
"る","る","verb","END","i","2","る","True","False","False"
"各","かく","noun","c","START","0","地","False","False","True"
"地","ち","noun","END","u","1","地","False","False","True"
"敏","びん","noun","k","START","0","感","False","False","True"
"感","かん","noun","END","n","1","感","False","False","True"
"大","だい","noun","t","START","0","領","False","False","True"
"統","とう","noun","r","i","1","領","False","False","True"
"領","りょう","noun","END","u","2","領","False","False","True"
"感","かん","noun","s","START","0","触","False","False","True"
"触","しょく","noun","END","n","1","触","False","False","True"
"有","ゆう","noun","r","START","0","力","False","False","True"
"力","りょく","noun","END","u","1","力","False","False","True"
"主","しゅ","noun","e","START","0","演","False","False","True"
"演","えん","noun","END","u","1","演","False","False","True"
"転","てん","verb","j","START","0","る","True","False","False"
"じ","じ","verb","r","n","1","る","True","False","False"
"る","る","verb","END","i","2","る","True","False","False"
"入","はい","verb","r","START","0","る","True","False","False"
"る","る","verb","END","i","1","る","True","False","False"
"締","し","verb","m","START","0","る","True","False","False"
"め","め","verb","r","i","1","る","True","False","False"
"る","る","verb","END","e","2","る","True","False","False"
"産","さん","noun","g","START","0","後","False","False","True"
"後","ご","noun","END","n","1","後","False","False","True"
"変","か","verb","w","START","0","る","True","False","False"
"わ","わ","verb","r","a","1","る","True","False","False"
"る","る","verb","END","a","2","る","True","False","False"
"掬","すく","verb","u","START","0","う","True","False","False"
"う","う","verb","END","u","1","う","True","False","False"
"産","さん","noun","k","START","0","休","False","False","True"
"休","きゅう","noun","END","n","1","休","False","False","True"
"道","どう","noun","t","START","0","徳","False","False","True"
"徳","とく","noun","END","u","1","徳","False","False","True"
"職","しょく","noun","i","START","0","員","False","False","True"
"員","いん","noun","END","u","1","員","False","False","True"
