Kanji,Pronunciation
防火,"['ぼう', 'か']"
破損,"['は', 'そん']"
同一,"['どう', 'いつ']"
命じる,"['めい', 'じ', 'る']"
出直し,"['で', 'なお', 'し']"
穂,['ほ']
選考,"['せん', 'こう']"
出会う,"['で', 'あ', 'う']"
労働,"['ろう', 'どう']"
神話,"['しん', 'わ']"
布告,"['ふ', 'こく']"
再び,"['ふたた', 'び']"
嬉しい,"['うれ', 'し', 'い']"
採点,"['さい', 'てん']"
写す,"['うつ', 'す']"
固有,"['こ', 'ゆう']"
講読,"['こう', 'どく']"
杖,['つえ']
峰,['みね']
打開,"['だ', 'かい']"
休学,"['きゅう', 'がく']"
警備,"['けい', 'び']"
忽ち,"['たちま', 'ち']"
飼育,"['し', 'いく']"
自尊心,"['じ', 'そん', 'しん']"
苛める,"['いじ', 'め', 'る']"
監督,"['かん', 'とく']"
明き,"['あ', 'き']"
素敵,"['す', 'てき']"
始まる,"['はじ', 'ま', 'る']"
新婚,"['しん', 'こん']"
泊める,"['と', 'め', 'る']"
述べる,"['の', 'べ', 'る']"
特徴,"['とく', 'ちょう']"
方,['ほう']
劣る,"['おと', 'る']"
仰っしゃる,"['お', 'っ', 'し', 'ゃ', 'る']"
改まる,"['あらた', 'ま', 'る']"
心,['こころ']
良質,"['りょう', 'しつ']"
更ける,"['ふ', 'け', 'る']"
効く,"['き', 'く']"
月日,"['つき', 'ひ']"
重んずる,"['おも', 'ん', 'ず', 'る']"
舟,['ふね']
手頃,"['て', 'ごろ']"
隠居,"['いん', 'きょ']"
几帳面,"['き', 'ちょう', 'めん']"
誇り,"['ほこ', 'り']"
証人,"['しょう', 'にん']"
外部,"['がい', 'ぶ']"
自転,"['じ', 'てん']"
質疑,"['しつ', 'ぎ']"
僅か,"['わず', 'か']"
相談,"['そう', 'だん']"
大陸,"['たい', 'りく']"
水準,"['すい', 'じゅん']"
注ぐ,"['つ', 'ぐ']"
悩ます,"['なや', 'ま', 'す']"
赤字,"['あか', 'じ']"
労力,"['ろう', 'りょく']"
休暇,"['きゅう', 'か']"
運河,"['うん', 'が']"
照る,"['て', 'る']"
抓る,"['つね', 'る']"
登場,"['とう', 'じょう']"
真ん中,"['ま', 'ん', 'なか']"
回復,"['かい', 'ふく']"
井戸,"['い', 'ど']"
脳,['のう']
反抗,"['はん', 'こう']"
若い,"['わか', 'い']"
刺,['とげ']
揃う,"['そろ', 'う']"
埋める,"['う', 'め', 'る']"
通貨,"['つう', 'か']"
校,['こう']
郊外,"['こう', 'がい']"
気軽,"['き', 'がる']"
笑い,"['わら', 'い']"
僅,['きん']
混同,"['こん', 'どう']"
国立,"['こく', 'りつ']"
閉じる,"['と', 'じ', 'る']"
合計,"['ごう', 'けい']"
意気込む,"['い', 'き', 'ご', 'む']"
腰掛け,"['こし', 'か', 'け']"
交差,"['こう', 'さ']"
重大,"['じゅう', 'だい']"
計る,"['はか', 'る']"
多少,"['た', 'しょう']"
卸す,"['おろ', 'す']"
均衡,"['きん', 'こう']"
真理,"['しん', 'り']"
憤慨,"['ふん', 'がい']"
血液,"['けつ', 'えき']"
貼る,"['は', 'る']"
出す,"['だ', 'す']"
類推,"['るい', 'すい']"
荒い,"['あら', 'い']"
点線,"['てん', 'せん']"
蕾,['つぼみ']
お手洗い,"['お', 'て', 'あら', 'い']"
出来るだけ,"['で', 'き', 'る', 'だ', 'け']"
釜,['かま']
食事,"['しょく', 'じ']"
手遅れ,"['て', 'おく', 'れ']"
購入,"['こう', 'にゅう']"
大好き,"['だい', 'す', 'き']"
微笑,"['び', 'しょう']"
学術,"['がく', 'じゅつ']"
芝居,"['しば', 'い']"
杯,['さかずき']
法案,"['ほう', 'あん']"
味わう,"['あじ', 'わ', 'う']"
再現,"['さい', 'げん']"
愛,['あい']
完全,"['かん', 'ぜん']"
郵送,"['ゆう', 'そう']"
人差指,"['ひと', 'さし', 'ゆび']"
戦う,"['たたか', 'う']"
慣例,"['かん', 'れい']"
試みる,"['こころ', 'み', 'る']"
無念,"['む', 'ねん']"
決まる,"['き', 'ま', 'る']"
或いは,"['ある', 'い', 'は']"
正しく,"['まさ', 'し', 'く']"
納入,"['のう', 'にゅう']"
役人,"['やく', 'にん']"
向き,"['む', 'き']"
得る,"['え', 'る']"
一番,"['いち', 'ばん']"
端,['はし']
縫う,"['ぬ', 'う']"
習慣,"['しゅう', 'かん']"
赤い,"['あか', 'い']"
数字,"['すう', 'じ']"
受け持つ,"['う', 'け', 'も', 'つ']"
危害,"['き', 'がい']"
手際,"['て', 'ぎわ']"
嗜好,"['し', 'こう']"
先程,"['さき', 'ほど']"
人体,"['じん', 'たい']"
本,['ほん']
一人でに,"['ひと', 'り', 'で', 'に']"
今晩,"['こん', 'ばん']"
能率,"['のう', 'りつ']"
池,['いけ']
甘口,"['あま', 'くち']"
貨幣,"['か', 'へい']"
偏,['へん']
未だ,"['ま', 'だ']"
持てる,"['も', 'て', 'る']"
陳列,"['ちん', 'れつ']"
年頃,"['とし', 'ごろ']"
以内,"['い', 'ない']"
答案,"['とう', 'あん']"
修理,"['しゅう', 'り']"
限度,"['げん', 'ど']"
実例,"['じつ', 'れい']"
朝御飯,"['あさ', 'ご', 'はん']"
源,['みなもと']
既に,"['すで', 'に']"
振り仮名,"['ふ', 'り', 'が', 'な']"
更に,"['さら', 'に']"
起伏,"['き', 'ふく']"
電球,"['でん', 'きゅう']"
汚らわしい,"['けが', 'ら', 'わ', 'し', 'い']"
手錠,"['て', 'じょう']"
